Ano,Enunciado_Alternativas,Area_de_Conhecimento
2020,"Qual a influência da comunicação nos fluxos migratórios? Denise Cogo, doutora em comunicação, discute a relação entre as tecnologias digitais e as migrações no mundo. Para a especialista, grande parte das representações e das experiências que conhecemos dos imigrantes chega pela mídia. “A mídia é mediadora das relações”, explica. O imigrante não é só um sujeito econômico, mas, explica Cogo, um sujeito sociocultural. Portanto, a comunicação integra a trajetória das migrações dentro de um processo histórico. “Desde o planejamento e o estudo das políticas migratórias para o país de destino até o contato com amigos e familiares, o encontro dos fluxos migratórios com as tecnologias digitais traz novas perspectivas para os sujeitos. Também se abre a possibilidade para que, com um celular na mão, os próprios imigrantes possam narrar suas histórias, construindo novos caminhos”, analisa. Disponível em: http://operamundi.uol.com.br. Acesso em: 6 dez. 2017 (adaptado). Ao trazer as novas perspectivas acionadas pelos sujeitos na escrita de suas histórias, o texto apresenta uma visão positiva sobre a presença da(s)A economia na formação cultural dos sujeitos. B manifestações isoladas nos processos de migração. C narrações oficiais sobre os novos fluxos migratórios. D abordagens midiáticas no tratamento das informações. E tecnologias digitais nas formas de construção da realidade.",Linguagens
2020,"Pessoal intransferível Escute, meu chapa: um poeta não se faz com versos. É o risco, é estar sempre a perigo sem medo, é inventar o perigo e estar sempre recriando dificuldades pelo menos maiores, é destruir a linguagem e explodir com ela. Nada no bolso e nas mãos. Sabendo: perigoso, divino, maravilhoso. Poetar é simples, como dois e dois são quatro sei que a vida vale a pena etc. Difícil é não correr com os versos debaixo do braço. Difícil é não cortar o cabelo quando a barra pesa. Difícil, pra quem não é poeta, é não trair a sua poesia, que, pensando bem, não é nada, se você está sempre pronto a temer tudo; menos o ridículo de declamar versinhos sorridentes. E sair por aí, ainda por cima sorridente mestre de cerimônias, “ herdeiro” da poesia dos que levaram a coisa até o fim e continuam levando, graças a Deus. E fique sabendo: quem não se arrisca não pode berrar. Citação: leve um homem e um boi ao matadouro. O que berrar mais na hora do perigo é o homem, nem que seja o boi. Adeusão. TORQUATO NETO. Melhores poemas de Torquato Neto . São Paulo: Global, 2018.Expoente da poesia produzida no Brasil na década de 1970 e autor de composições representativas da Tropicália, Torquato Neto mobiliza, nesse texto, A gírias e expressões coloquiais para criticar a linguagem adornada da tradição literária então vigente. B intenções satíricas e humorísticas para delinear uma concepção de poesia voltada para a felicidade dos leitores. C frases de efeito e interpelações ao leitor para ironizar as tentativas de adequação do poema ao gosto do público. D recursos da escrita em prosa e noções do senso comum para enfatizar as dificuldades inerentes ao trabalho do poeta. E referências intertextuais e anedóticas para defender a importância de uma atitude destemida ante os riscos da criação poética.",Linguagens
2020,"Disponível em: www.comunicaquemuda.com.br. Acesso em: 9 dez. 2017. A fim de contribuir para a diminuição do número de acidentes de trânsito, essa campanha A proíbe o uso de remédios para evitar o sono na direção. B dá dicas aos motoristas sobre diminuição do cansaço físico. C apresenta a capotagem como consequência da direção perigosa. D atribui ao motorista a responsabilidade pela segurança no trânsito. E conscientiza o motorista sobre a necessidade de controle da velocidade nas estradas.",Linguagens
2020,"DE MARIA, W. Campo relampejante, 1977. Disponível em: www.ballardian.com. Acesso em: 12 jun. 2018. Na obra Campo relampejante  (1977), o artista Walter de Maria coloca hastes de ferro em espaços regulares, em um campo de 1 600 metros quadrados no Novo México. O trabalho faz parte do movimento artístico Land Art, que trata da A constituição da cena artística marcada pela paisagem natural, modificada pela multimídia. B ocupação de um local vazio sem função específica, passando a existir como arte. C utilização de equipamentos tradicionais como suporte para a atividade artística. D divulgação de fenômenos científicos que dialogam com a estética da arte. E exposição da obra em locais naturais e institucionais abertos ao público.",Linguagens
2020,"O que dizer de um corpo flácido, gordo, considerado deselegante nos dias de hoje, mas que era, há não muito tempo, considerado sensual e inspirador por pintores clássicos? Como entender o conceito de saúde, associado antigamente a um corpo robusto, até mesmo gordo, e atualmente relacionado a um corpo magro? E o corpo já não tão jovem, sobre o qual é imposta uma série de “consertos” e “reparos” para parecer mais jovem? O que se pode dizer é que o corpo é uma síntese da cultura, pois, através do seu corpo, o ser humano vai assimilando e se apropriando dos valores, normas e costumes sociais, em um processo de incorporação. DAOLIO, J. Os significados do corpo na cultura e as implicações para a educação física.   Movimento , n. 2, 1995 (adaptado). As mudanças das representações sobre o corpo ao longo da história são provenientes daA busca permanente pela saúde relacionada a um padrão corporal específico. B interferência da História da Arte sobre padrões corporais valorizados no cotidiano. C pesquisa por novos procedimentos estéticos voltados aos cuidados com a aparência corporal. D diferença aparente entre a capacidade motora de um corpo jovem e aquele marcado pelo tempo. E influência da sociedade na construção dos sentidos e significados sociais relacionados ao corpo.",Linguagens
2020,"Disponível em: www.vidasimples.uol.com.br. Acesso em: 6 dez. 2017 (adaptado). A apropriação das informações produzidas na imagem do GPS, nesse texto, tem o propósito de A reafirmar a necessidade do uso de aparelhos eletrônicos na escolha de rotas. B demonstrar a eficiência da tecnologia na resolução de problemas humanos. C estimular a reflexão sobre o poder de controlar os rumos da vida. D comprovar a aplicabilidade dos recursos digitais na reconfiguração de trajetos. E destacar a incerteza das emoções vividas pelo coração humano.",Linguagens
2020,"TEXTO I Cinema Novo O filme quis dizer: “Eu sou o samba”   A voz do morro rasgou a tela do cinema   E começaram a se configurar   Visões das coisas grandes e pequenas   Que nos formaram e estão a nos formar   Todas e muitas: Deus e o diabo, vidas secas, os fuzis,   Os cafajestes, o padre e a moça, a grande feira, o desafio   Outras conversas, outras conversas sobre os jeitos do Brasil VELOSO, C.; GIL, G. In: Tropicália 2. Rio de Janeiro: Polygram, 1993 (fragmento). TEXTO II O cinema brasileiro partiu da consciência do subdesenvolvimento e da necessidade de superá-lo de maneira total, em sentido estético, filosófico, econômico: superar o subdesenvolvimento com os meios do subdesenvolvimento. Tropicalismo é o nome dessa operação; por isso existe um cinema antes e depois do Tropicalismo. Agora nós não temos mais medo de afrontar a realidade brasileira, a nossa realidade, em todos os sentidos e a todas as profundidades. ROCHA, G. Tropicalismo, antropologia, mito, ideograma. In: Revolução do Cinema Novo . Rio de Janeiro: Alhambra; Embrafilme, 1981 (adaptado). Uma das aspirações do Cinema Novo, movimento cinematográfico brasileiro dos anos 1960, incorporadas pela letra da canção e detectáveis no texto de Glauber Rocha, está naA retomada das aspirações antropofágicas pela prática intertextual. B problematização do conceito de arte provocada pela geração tropicalista. C materialização do passado como instrumento de percepção do contemporâneo. D síntese da cultura popular em sintonia com as manifestações artísticas da época. E formulação de uma identidade brasileira calcada na tradição cultural e na crítica social.",Linguagens
2020,"Carlos é hoje um homem dividido, Mário, e isso graças às suas cartas.       Às vezes ele torce pelas palmeiras paródicas do Oswald de Andrade (a ninguém cá da terra passou despercebido o título que quer dar ao seu primeiro livro de poemas — Minha terra tem palmeiras ). Às vezes não quer esquecer o gélido cinzel  de Bilac e a prosa clássica  dos decadentistas franceses, e à noite, ao ouvir o chamado da moça-fantasma, fica cismando ismálias em decassílabos rimados. Às vezes sucumbe ao trato cristão da condição humana e, à sombra dos rodapés de Tristão de Ataíde, tem uma recaída jacksoniana. Às vezes não sabe se prefere o barulho do motor do carro em disparada, ou se fica contemplando o sinal vermelho que impõe stop ao trânsito e silêncio ao cidadão. Às vezes entoa loas à vida besta, que devia jazer para sempre abandonada em Itabira. Mas na maioria das vezes sai saracoteando ironicamente pela rua macadamizada da poesia, que nem um pernóstico malandro escondido por detrás dos óculos e dos bigodes, ou melhor, que nem a foliona negra que você tanto admirou no Rio de Janeiro por ocasião das bacanais de Momo. SANTIAGO, S. Contos antológicos de Silviano Santiago . São Paulo: Nova Alexandria, 2006. Inspirado nas cartas de Mário de Andrade para Carlos Drummond de Andrade, o autor dá a esse material uma releitura criativa, atribuindo-lhe um remetente ficcional. O resultado é um texto de expressividade centrada naA hesitação na escolha de um modelo literário ideal. B colagem de estilos e estéticas na formação do escritor.  C confluência de vozes narrativas e de referências biográficas.  D fragmentação do discurso na origem da representação poética. E correlação entre elementos da cultura popular e de origem erudita.",Linguagens
2020,"O laço de fita Não sabes, criança? 'Stou louco de amores...   Prendi meus afetos, formosa Pepita. Mas onde? No templo, no espaço, nas névoas?!   Não rias, prendi-me   Num laço de fita.  Na selva sombria de tuas madeixas,   Nos negros cabelos de moça bonita,   Fingindo a serpente qu'enlaça a folhagem, Formoso enroscava-se   O laço de fita. [...] Pois bem! Quando um dia na sombra do vale   Abrirem-me a cova... formosa Pepita! Ao menos arranca meus louros da fronte,   E dá-me por c'roa...  Teu laço de fita. ALVES, C. Espumas flutuantes . Disponível em: www.dominiopublico.gov.br. Acesso em: 8 ago. 2015 (fragmento). Exemplo da lírica de temática amorosa de Castro Alves, o poema constrói imagens caras ao Romantismo. Nesse fragmento, o lirismo romântico se expressa naA representação infantilizada da figura feminina. B criatividade inspirada em elementos da natureza. C opção pela morte como solução para as frustrações. D ansiedade com as atitudes de indiferença da mulher. E fixação por signos de fusão simbólica com o ser amado.",Linguagens
2020,"Estudo da FGV mostra que robôs infestam debate político no Brasil Um estudo divulgado pela Diretoria de Análise de Políticas Públicas da Fundação Getulio Vargas afirma que perfis automatizados em redes sociais já são usados em larga escala no debate político no Brasil — e não para aprimorá-lo. Segundo a pesquisa, esses robôs “se converteram em uma potencial ferramenta para a manipulação de debates nas redes sociais”. “Nas discussões políticas, os robôs têm sido usados por todo o espectro partidário não apenas para conquistar seguidores, mas também para conduzir ataques a opositores e forjar discussões artificiais. Eles manipulam debates, criam e disseminam notícias falsas e influenciam a opinião pública, postando e replicando mensagens em larga escala. O estudo demonstra de forma clara o potencial danoso dessa prática para a disputa política e o debate público”, diz o diretor da FGV/DAPP, Marco Aurélio Ruediger. O estudo conclui que os robôs buscam imitar o comportamento humano e se passar como tal, de maneira a interferir em debates espontâneos e criar discussões forjadas. “Com esse tipo de manipulação, os robôs criam a falsa sensação de amplo apoio político a certa proposta, ideia ou figura pública.” Para a FGV, a participação ostensiva de robôs no ambiente virtual tornou urgente a necessidade de identificar suas atividades e, consequentemente, diferenciar quais debates são legítimos e quais são forjados GROSSMANN, L. O. Disponível em: www.convergenciadigital.com.br. Acesso em: 25 ago. 2017. O texto descreve características de uma tecnologia de informação e comunicação contemporânea, que têm se mostrado difíceis de identificar por causa da utilização deA linguagens comuns. B diferentes redes sociais. C informações falsas. D opiniões políticas. E figuras públicas.",Linguagens
2020,"Nos dias atuais, para as crianças e os adolescentes, a alimentação adequada e balanceada está associada, na maioria das vezes, à busca da forma ideal, segundo padrões ditados pela mídia. Se antes essa preocupação era predominantemente feminina, hoje existem adolescentes tentando emagrecer a qualquer custo: entram e saem de dietas e regimes feitos por conta própria, automedicam-se ou praticam exercícios físicos sem orientação. MATTOS, L. O. N. Educação física e educação para a saúde. MultiRio , 2016 (adaptado). Adolescentes associam que a conquista da “forma ideal” do corpo está relacionada à A adoção de hábitos inadequados à saúde no cotidiano. B busca de auxílio médico para o tratamento com fármacos. C adesão a programas oferecidos por academias de ginástica. D atuação da mídia na estética presente no imaginário feminino. E procura de um nutricionista para a realização de dieta e regime.",Linguagens
2020,"Os cuidados com o corpo vão se tornando uma exigência na modernidade e implicam a convergência de uma série de elementos: as tecnologias, para tanto, vão se desenvolvendo de maneira acelerada; o mercado dos produtos e serviços voltados para o corpo vai se expandindo; a higiene que fundamentava esses cuidados vai sendo substituída pelos prazeres do “corpo”, implicação lógica do processo de secularização, no qual há a identificação da personalidade dos indivíduos com sua aparência. Por todas essas circunstâncias, o cuidado com o corpo transforma-se numa ditadura do corpo, um corpo que corresponda à expectativa desse tempo, um corpo que seja trabalhado arduamente e do qual os vestígios de naturalidade sejam eliminados. SILVA, A. M. Corpo, ciência e mercado: reflexões acerca da gestação de um novo arquétipo da felicidade. Campinas: Autores Associados; Florianópolis: UFSC, 2001. O fenômeno social identificado, em relação à presença do corpo na sociedade, indica queA as tecnologias, o mercado dos produtos e serviços e a higiene criaram uma ditadura do corpo. B os cuidados com o corpo na modernidade reforçam a naturalidade da personalidade do indivíduo. C a expansão das tecnologias de cuidado reduz o impacto desempenhado pelos padrões estéticos na construção da imagem corporal. D o enfraquecimento atual dos padrões de beleza favorece o crescimento do mercado de produtos e serviços voltados aos cuidados estéticos. E os padrões estéticos desempenham uma importante função social à medida que induzem à melhoria dos indicadores de saúde na população.",Linguagens
2020,"Dias depois da morte de D. Mariquinha, Seu Lula, todo de luto, reuniu os negros no pátio da casa-grande e falou para eles. A voz não era mais aquela voz mansa de outros tempos. Agora Seu Lula era o dono de tudo. O feitor, o negro Deodato, recebera as suas instruções aos gritos. Seu Lula não queria vadiação naquele engenho. Agora, todas as tardes, os negros teriam que rezar as ave-marias. Negro não podia mais andar de reza para S. Cosme e S. Damião. Aquilo era feitiçaria. [...] E o feitor Deodato, com a proteção do senhor, começou a tratar a escravatura como um carrasco. O chicote cantava no lombo dos negros, sem piedade. Todos os dias chegavam negros chorando aos pés de D. Amélia, pedindo valia, proteção contra o chicote do Deodato. A fama da maldade do feitor espalhara-se pela várzea. O senhor de engenho do Santa Fé tinha um escravo que matava negro na peia. [...] E o Santa Fé foi ficando assim o engenho sinistro da várzea. RÊGO, J. L. Fogo morto . Rio de Janeiro: José Olympio, 1989. A condição dos trabalhadores escravizados do Santa Fé torna-se exponencialmente aflitiva após a morte da senhora do engenho. Nessa passagem, o sofrimento a que se submetem é intensificado pela reação àA mania do novo senhor de se dirigir a eles aos gritos. B saudade do afeto antes dispensado por D. Mariquinha. C privação sumária de suas crenças e práticas ritualísticas. D inércia moral de D. Amélia ante as imposições do marido. E reputação do Santa Fé de lugar funesto a seus moradores.",Linguagens
2020,"Muito do que gastamos (e nos desgastamos) nesse consumismo feroz podia ser negociado com a gente mesmo: uma hora de alegria em troca daquele sapato. Uma tarde de amor em troca da prestação do carro do ano; um fim de semana em família em lugar daquele trabalho extra que está me matando e ainda por cima detesto. Não sei se sou otimista demais, ou fora da realidade. Mas, à medida que fui gostando mais do meu jeans, camiseta e mocassins, me agitando menos, querendo ter menos, fui ficando mais tranquila e mais divertida. Sapato e roupa simbolizam bem mais do que isso que são: representam uma escolha de vida, uma postura interior. Nunca fui modelo de nada, graças a Deus. Mas amadurecer me obrigou a fazer muita faxina nos armários da alma e na bolsa também. Resistir a certas tentações é burrice; mas fugir de outras pode ser crescimento, e muito mais alegria. LUFT, L.  Pensar é transgredir . Rio de Janeiro: Record, 2011. Nesse texto, há duas ocorrências de dois-pontos. Na primeira, eles anunciam uma enumeração das negociações que podemos fazer conosco. Na segunda, eles introduzem umaA opinião sobre o uso de jeans, camiseta e mocassins. B explicação sobre a simbologia de sapatos e roupas. C conclusão acerca da oposição entre otimismo e realidade. D comparação entre ostentação e conforto em termos de vestuário. E retomada da ideia de negociação discutida no primeiro parágrafo.",Linguagens
2020,"Assim, está nascendo dentro da língua portuguesa, e provavelmente dentro de todas as demais línguas, uma nova linguagem, a linguagem radiofônica. Como a dos engenheiros, como a dos gatunos, como a dos amantes, como a usada pela mãe com o filho que ainda não fala, essa linguagem radiofônica tem suas características próprias determinadas por exigências ecológicas e técnicas. ANDRADE, M. apud PINTO, E. P. O português do Brasil . São Paulo: Edusp, 1981. Mário de Andrade, ao se referir ao impacto que o rádio teria nas pessoas e principalmente sobre a linguagem, possibilita uma reflexão acercaA das relações sociais específicas da sociedade da época. B da relação entre o meio e o contexto social de enunciação. C do nascimento das línguas a partir de exigências sociais específicas. D das demais línguas do mundo, por possuírem características em comum. E da especificidade da linguagem radiofônica, em detrimento de outras linguagens.",Linguagens
2020,"Disponível em: www.inbatatais.com.br. Acesso em: 8 maio 2012. No anúncio sobre a proibição da venda de bebidas alcoólicas para menores, a linguagem formal interage com a linguagem informal quando o autor A desrespeita a regência padrão para ampliar o alcance da publicidade. B elabora um jogo de significados ao utilizar a palavra “legal”. C apoia-se no emprego de gírias para se fazer entender. D utiliza-se de metalinguagem ao jogar com as palavras “legal” e “lei”. E esclarece que se trata de uma lei ao compará-la a uma proibição.",Linguagens
