Ano,Enunciado,Alternativa_A,Alternativa_B,Alternativa_C,Alternativa_D,Alternativa_E,Area_de_Conhecimento
2020,mar camp relampej 1977 dispon wwwballardiancom acess 12 jun 2018 obr camp relampej 1977 artist walt mar coloc hast ferr espaç regul camp 1 600 metr quadr nov méxic trabalh faz part mov artíst land art trat constituição cen artíst marc pais natur modific,ultimíd,ocup local vazi função específ pass exist art,utiliz equip tradic suport ativ artíst,divulg fenômen científ dialog esté art,expos obr local natur instituc abert públic,Linguagens
2020,diz corp flác gord consider deseleg dia hoj temp consider sens inspir pin cláss entend conceit saúd associ antig corp robust gord atual relacion corp magr corp tão jov sobr impost séri consert repar parec jov pod diz corp síntes cultura poi através corp human vai assimil apropri val norm costum soc process incorpor daoli signific corp cultura implic educ física mov 2 1995 adapt mudanç represent sobr corp long história proveni daa busc permanent saúd relacion padr corpor específ interfer história art sobr padr corpor valor cotidi pesquis nov proced esté volt cuid apar,orpor,diferenç aparent capac motor corp jov marc,elo temp,influ sociedad construç sent signific soc relacion,corp,Linguagens
2020,dispon wwwvidasimplesuolcombr acess 6 dez 2017 adapt apropri inform produz imag gp ness text propósit,reafirm necess uso aparelh eletrôn escolh rot,demonstr efici tecnolog resoluç problem human,estimul reflex sobr pod control rum vid,comprov aplic recurs digit reconfigur trajet,destac incert emoç viv coraçã human,Linguagens
2020,text cinem nov film quil diz samb voz morr rasg tel cinem começ configur vis cois grand pequen form form tod muit deu diab vid sec fuzil cafaj padr moç grand feir desafi outr convers outr convers sobr jeit brasil vel gil tropicál 2 rio jan polygr 1993 fragment text cinem brasil part consci subdesenvolv necess superál man total sent esté filosóf econôm super subdesenvolv mei subdesenvolv tropic nom dess oper exist cinem ant tropic agor med afront real brasil real tod sent tod profund roch tropic antropolog mit ideogram revolução cinem nov rio jan alhambr embrafilm 1981 adapt aspir cinem nov mov cinematográf brasil ano 1960,ncorpor letr cançã detect text glaub roch naa retom aspir antropofág prát intertext,problem conceit art provoc ger tropic,materi pass instrument percepç contemporâne,síntes cultura popul sinton manifest artíst époc,formul ident brasil calc trad cult crít soc,Linguagens
2020,carl hoj hom divid mári graç cart vez torc palm paród oswald andrad ninguém terr pass desperceb títul qu dar prim livr poem terr palm vez qu esquec gél cinzel bilac pros cláss decadent frances noit ouv cham moçafantasm fic cism ismál decassílab rim vez sucumb trat cristã cond human sombr rodapé trist ataíd recaíd jacksoni vez sab pref barulh motor carr dispar fic contempl sinal vermelh impõ stop trânsit silênci cidad vez ento loa vid best dev jaz sempr abandon itab maior vez sai saracote ironic rua macadam poesia pernós malandr escond detr ócul bigod melhor foliã negr tant admir rio jan ocas bacan mom santiag cont antológ silvi santiag paul nov alexandr 2006 inspir cart mári andrad carl drummond andrad autor mater releit cria atribuindolh remet ficc result,ext express centr naa hesit escolh model liter ideal,col estil esté form escri,conflu voz narr refer biográf,fragment discurs orig represent poé,correl element cultura popul orig erudit,Linguagens
2020,laç fit sab crianç stou louc am prend afet form pepit ond templ espaç névo ria prendim laç fit selv sombr madeix negr cabel moç bonit fing serp quenl folh form enroscavas laç fit poi bem dia sombr val abriremm cov form pepit menos arranc lour front dám cro laç fit alv espum flutu dispon wwwdominiopublicogovbr acess 8 ago 2015 fragment exempl líric temá amor castr alv poem constró imag car,omant ness fragment lir român express naa represent infantil figur feminin,criat inspir element natur,opç mort soluç frustr,ansiedad atitud indiferenç mulh,fix sign fusã simból am,Linguagens
2020,estud fgv mostr robô infest debat polít brasil estud divulg diret anális polít públic fund getuli varg afirm perfil autom red soc us larg escal debat polít brasil aprimorál segund pesquis robô convert potenc ferrament manipul debat red soc discuss polít robô têm sid us tod espectr partid apen conquist segu conduz ataqu oposi forj discuss artific manipul debat cri dissemin notíc fals influenc opin públic post replic mens larg escal estud demonstr form cl potenc dan dess prát disput política debat públic diz dire fgvdapp marc auréli ruedig estud conclu robô busc imit comport human pass tal man interfer debat espontâne cri discuss forj tip manipul robô cri fals sens ampl apoi polít cert propost ide figur públic fgv particip ostens robô ambi virtual torn urgent necess identific ativ consequ diferenci qual debat legít qual forj grossmann dispon wwwconvergenciadigitalcombr acess 25 ago 2017 text descrev caracterís tecnolog inform comunic,ontemporâne têm mostr difícel identific caus utiliz dea lingu comum,difer red soc,inform fals,opin polít,figuras públic,Linguagens
2020,dia atual crianç adolesc aliment adequ balance associ maior vez busc form ideal segund padr dit míd ant preocup predomin feminin hoj exist adolesc tent emagrec qualqu cust entr sa diet regim feit cont própr automedicams pratic exercíci físic orient matt educ física educ saúd multiri 2016 adapt adolesc assoc conqu form ideal corp relacion,adoç hábit inadequ saúd cotidi,busc auxíli médic trat fármac,ades program oferec academ ginás,atu míd esté pres imagin feminin,proc nutr realiz diet regim,Linguagens
2020,cuid corp vão torn exig modern implic converg séri element tecnolog tant vão desenvolv man aceler merc produt serviç volt corp vai expand higien fundament cuid vai send substitu praz corp implic lógic process secular identific personal indivídu apar tod circunst cuid corp transformas ditad corp corp correspond expect dess temp corp trabalh ardu vestígi natural elimin silv corp ciênc merc reflex acerc gest nov arquétip felic campin autor associ florianópolil ufsc 2001 fenômen soc identific relaç presenç corp sociedad indic que tecnolog merc produt serviç higien cri ditad corp cuid corp modern reforç natural personal indivídu expans tecnolog cuid reduz impact desempenh padr,sté construç imag corpor,enfraquec atual padr bel favorec cresc merc,rodut serviç volt cuid esté,padr esté desempenh import função soc med,nduz melh indic saúd popul,Linguagens
2020,dia mort maric lul tod lut reun negr páti casagrand fal voz voz mans outr temp agor lul don tud fei negr deodat receb instruç grit lul quer vadi naquel engenh agor tod tard negr rez avem negr pod and rez cosm dam feitiç fei deodat proteç senh começ trat escravat carrasc chicot cant lomb negr piedad tod dia cheg negr chor pé amél ped val proteç contr chicot deodat fam maldad fei espalharas várze senh engenh sant escrav mat negr pei sant fic assim engenh sinistr várze rêg fog mort rio jan josé olympi 1989 cond trabalh escrav sant tornas expon afli após mort senh engenh ness pass sofr submet,ntensific reaç mani nov senh dirig grit,saudad afet ant dispens maric,priv sumár crenç prát ritu,inérc moral amél ant impos marid,reput sant lug funest mor,Linguagens
2020,gast desgast ness consum feroz pod negoci gent hor alegr troc daquel sapat tard am troc prest carr ano fim seman famíl lug daquel trabalh extr mat aind cim detest sei otim demal real med gost je camiset mocassim agit menos quer ter menos fic tranquil divert sapat roup simboliz bem represent escolh vid post interi nunc model nad graç deu amadurec obrig faz muit faxin armári alm bols resist cert tent burr fug outr pod cresc alegr luft pens transgred rio jan record 2011 ness text dua ocorr doispont prim anunc,numer negoci pod faz conosc segund introduz uma opin sobr uso je camiset mocassim,explic sobr simbolog sapat roup,conclus acerc opos otim real,compar ostent confort term vestu,retom ide negoci discut prim parágraf,Linguagens
2020,assim nasc dentr língu portugu prova dentr tod demal língu nov lingu lingu radiofôn engenh gatun am us mãe filh aind fal lingu radiofôn caracterís própr determin exig ecológ técn andrad apud pint portugu brasil paul edusp 1981 mári andrad refer impact rádi pesso princip,obr lingu possibilit reflex acerca relaç soc específ sociedad époc,relaç mei context soc enunci,nasc língu part exig soc específ,demal língu mund possuír caracterís comum,especific lingu radiofôn detr outr lingu,Linguagens
2020,dispon wwwinbatataiscombr acess 8 mai 2012 anúnci sobr proib vend beb alcoól men lingu formal interag lingu inform autor,desrespeit reg padr ampli alcanc public,elab jog signific utiliz palavr legal,apoias empreg gír faz entend,utilizas metalingu jog palavr legal lei,esclarec trat lei comparál proib,Linguagens
2020,preconceit contribu aument epidem aid apes avanç medicin mental relaç aid hiv continu déc 1980 últ boletim epidemiológ minist saúd 2016 mostr cas hiv jov brasil aument considera problem avanç 32 321 nov infecç hiv registr 2015 248 acontec pesso 15 24 ano muit apont caus fat adolesc conviv aug epidem especi quest bem complex continu vis hipócrit fal sobr sex incit jov dam ferrament tom decis segur relaç sexual afirm georgi bragaorillard dire unaid program conjunt onu sobr hiv aid met acab epidem 2030 quest preconceit pod separ síndrom estigmatiz aid lei gar trat gratuit su penaliz ato discrimin ajud sufici mud mental sociedad aind enxerg viv víru merec além diss acess saúd orient igual tod dispon httprevistaplanetaterracombr acess 2 set 2017 adapt report discut preconceit fal abert sobr sex jov fat respons avanç númer cas aid brasil estratég us repórt tent desconstru preconceit traz text trech apresent palavr autoridad áre alert fat port víru aid tid merec torn públic estatís comprov aument númer cas,oenç,inform jov hoj desconhec pi moment epidem,id,comprov inform sobr doenç trat inacess,odo,Linguagens
2020,gramá percepç estrit língu alguém defend língu mudanç problem esforç pesso obedeç norm língu vir dand calaboc cidad brasil diss fal escrev acord regr fal err pesso med consegu fal escrev pouc don língu fal gramá aprend fal língu fal procur sab fal jeit outr diz fal err atitud científ descobert linguís substitu calaboc praz descobert científ linguís ampli olh pass consider qualqu assunt dign estud entrev atalib castilh pesquis fapesp 259 set 2017 adapt bas tes defend conclus text inferes intenç autor,atribu gramática desvi portugu brasil,defend atitud política di regr língu,contrap trabalh lingu prescr gramatic,contribu revert escass produç text país,isent fal respons segu norm linguís,Linguagens
2020,dispon wwwricmaiscombr acess 10 nov 2011 adapt acord intenç comunic recurs linguís destac determin funç atribu lingu função predomin ness text cona vez atu sobr interlocu procur convencêl realiz escolh man consci,coloc evid canal comunic uso palavr corrig,confirm,privileg text verb bas inform detr text verb,usa imag únic recurs interag públic destin,evidenc emoç enunci us imag crianç,Linguagens
2020,indústr cult felic tornous perig empreg palavr felic desd mau uso propagand neg usál acredit liber demal desvi fals necess bugigang pod compr shopping grãfin camelô beir calç junt sustent indústr cult felic reduz ant ideal étic vid just infelic pod nom própri dess nov est alm human perd perders sent faz desesper term aind agud trat perd sent açõ perd capac reflex sobr faz felic publicitár alcanc ded promet result diss mass desesper trafeg zumvel shopping farmác país busc alent tibur dispon httprevistacultuolcombr acess 12 nov 2014 adapt,reprov açã indústr felic comport human text assoc ansiedad recorr lanç novidad merc,visit frequ shopping resoluç problem cotidi,atitud impens atend necess emerg,post consum crenç promess ilusór anúnci publicit,vantag econôm vend produt falsific merc ambul,Linguagens
2020,livr cois stephen king dur férias escol 1958 derry pacat cidad main bill richi stan mik eddi ben beverly aprend real sent amizad am confianç med profund tenebr med naquel ver enfrent prim vez cois sobrenat malign deix terr marc sang derry quas trint ano amig volt encontr nov ond terr tom pequen cidad mik hanlon únic permanec derry sinal precis unir forç nov cois volt atac dev cumpr promess sel sang fiz crianç têm chav enigm sab escond entranh derry temp curt soment pod venc cois cois cláss stephen king nov ediç amig irã fim signifiqu ultrapass própri limit dispon wwwlivrariaculturacombr acess 1 dez 2017 relacionandos element compõ text depreendes função soc cons lev leit,compreend história vivenci amig cidad derry,interpret obr bas descr detalh,avali public bas síntes crít,adquir obr apresent sit livr,argument favor obr resum,Linguagens
2020,cas pluvi chuv irrit dia descobr mar chov chuv mar cad ping mar ensop doming oss molh deix terr chuv lavr lav tod barr verd mar chuvos criat chov mim cad gest pens desej son rest chuv fin chuv gross mat noturn ativ andrad viol bols rio jan josé olympi 1952 fragment considerandos explor palavr mar chuvos poem concluis tal recurs express,registr soc típic variedad region,vari particul pres oral,inov lexic singulariz lingu literár,marc informal caracterís text liter,traç linguís exclus lingu poé,Linguagens
2020,dur cinc minut band norteameric atomic tom deix lad microfon guit baix bat fiz show acús pod parec utiliz quatr aparelh telefon celul cad substitu instrument mei quatr aplic difer shred drum meist pocket guit microphon quatr membr band embarc metrô nov iorqu lig celul começ toc músic tak out nenhum tip anúnci film apresent outr aparelh telefon víde result sucess youtub 2 milhã visual dispon wwwtecmundocombr acess 6 jun 2018 adapt apresent band atomic tom revel altern inusit enfrent difícil aquis instrument music,radic,form descart produç music lig efemer sociedad atual,man inov ouv músic mei aparelh eletrôn portátel,possibil faz músic decorr avanç tecnológ,soluç orig lev cultura music mei transport,Linguagens
2020,cart caracteriz ser text efêmer inscrit temp produç escrit muit vez papel mão frequ salv esforç própri missiv terc preocup preservál facil desaparec corric conteúd fragil mater sempr assim porém assist nest dua déc sécul xxi grand inter cham écritur moi escrit express georg gusdorf nunc estud tant memór diári cart quant ness últ temp public memór diári cart sempr estud entant enxerg objet pesquis auxili interpretação obr escri protagon coadjuv rar ness sent enganas abr volum cart provinci correspond gilbert freyr manuel bande lanç glob edit julg deparars apen livr cart organiz preocupous contextual cad 68 cart trabalh cuidad pormenor reconstitu cond produç cad verd resgat tin diálog intermit pesquis fapesp 259 set 2017 acord text gêner cart assum função soc mater cunh,ientíf por constituirs registr pessoal estil escrit autor fam,font inform sobr interlocu envolv inter,assum material resist aspect efêmer temp,registr moment histór soc ampl,faz part acerv liter país,Linguagens
2020,lad indústr mod rock melhor exempl vendabil elás pass cult recicl regul própr história form retom releit retorn vers cov últ ano desenvolv nov tecnolog aceler cert man democratiz process pont permit evid cult rock fisic desmantel remont pastich col rapid falt control qualqu époc conn cultura pósmodern introduç teor contemporâne paul loyol 1989 rock personif paradox cultura mass pósmodern vist alcanc,nflu glob combin toler cri uma subvers sistem cult vigent,identific plural estil míd,homogene ritm nov cri,desvincul identitár hábit escut,form conflu métod pens,Linguagens
2020,guarnier suplement liter min geral 1 338 setout 2011 correlac trabalh human máquin autor vales dispos visual text,express ide desuman perd ident,ironiz realiz taref repeti acrí,realç falt sent ativ burocrá,sinal alien funcion repart,destac inutil trabalh modern,Linguagens
2020,form revist destin mulh expect consum pod produz encontr horizont feminil urban contemporâne impel disput merc afet masculin mulh form jov heterossex form conteúd centr report diet séri exercíci fármac pel cabel fim embelez corp cuid saúd report tem autoajud organizas seç específ 1 fitnes 2 bel 3 diet nutr 4 bemest 5 espec além dess seç apresent sempr report garot cap outr minisseç veicul conteúd simil seç fix albin vaz corp técn embelez feminin mov 1 2008 adapt considerandos expect sobr feminil produz míd revist,encion prát exercíci corrobor construç feminilidade plur prioriz saúd bemest bel,hegemôn normatiz heterossexual jovial,heterogêne prev exist corp difer form,padron privileg autonom mulh sobr estil vid,crist desconsider expect consum contemporane,Linguagens
2020,dispon wwwfolhavitoriacombr acess 11 dez 2017 uso inusit jog caçapalavr ness public merc hortifrút lev,alus hábit aliment saud,inclus carn diet altern,construç list compr lúdic,ênfas carn aliment balance,quebr expect relaç it hortifrút,Linguagens
2020,text plant bel horizont grand contr nov capit antig vil colon min nasc necess popul sécul xvii desenvolv nenhum planej futur capit inov modern progress assim projet urbanís engenh paraens aar reil elabor bel horizont caus curios entusiasm dign atenç observ nom dad rua bel horizont est brasil trib indígen rio etc mencionál verd aul estud soc inclusiv form ensin popul aind carent ensin formal dispon wwwdescubraminascombr acess 9 dez 2017 adapt text rua cidad guaicuru caeté goitacaz tupinamb aimoré tod chã guajaj tamoi tapu tod timb tupil tod chã pared rua devolv abism rol horizont perd mei selv cresc arra arra pass bond pass boi pass tra avi rua reil guajaj tamoi tapu tupinamb aimoré tod chã cidad plant coraçã tant nom morr horizont perd mei selv cresc arra arra pared rua devolv abism rol horizont perd mei selv borg borg nasc club esquin 2 rio jan emi 1978 fragmentod cidad plant coraçã tant nom morr horizont perd mei selv cresc arra arra text abord preserv memór ident nacion pres,ome rua belorizontin qual vers text contest projet arquitetôn,escrit text,guaicuru caeté goitacaz tupinamb aimoré,pared rua devolv abism rol,pass bond pass boi pass tra avi rua reil,Linguagens
2020,univers infantil encant ric divers manifest corpor crianç brinc pegapeg escondeescond mãe rua experienc divers possibil mov busc nov descobert pod ocorr mei element gímn estrel cambalhot banan nom popul dad rod rol par mão pizan barbosarinald cotidi escol presenç element gímn brinc infantil revist educ física uem 1 2010 fundament gímn rod par mão requ respectiv aplic element,pos força,gir corr,apoi equilíbri,saltit suspens,revers resist,Linguagens
2020,dispon wwwcomunicadoresinf acess 27 ago 2017 campanh conscien sobr efeit álcool direç leit text depreendes,álcool afet sent human pod provoc mort pesso inoc,biciclet veícul difícil visibil motor alcool,recipi beb pod us refle imag crianç,vis motor alcool fic turv após ingest beb,beb alcóol proib men idad,Linguagens
2020,port fund contrat vitalíci dire ian sbf temp 1 46 min brasil 2016 prim film grup humorís port fund conhec 12 milhã assin youtub estre públic brasil curt esquet internet desafi grup transform víde curt long cinem apes grand invest elenc produt empolg tant enred cont dupl rodrig porchat miguel duvivi venc cann aug carr decid assin contrat vitalíci at rodrig dev particip tod film produt miguel produç film maluc cont ótim elenc port fund fam blogu jornal fofoc agent celebr dire elenc radic detetiv ajud at pont fort film satir just mund celebr internet cinem mesm nest moment dispon wwwcriticasdefilmescombr acess 12 dez 2017 adapt ness text trech traz marc linguís função avali resenh port fund contrat vitalíci dire ian sbf temp 1 46 min brasil 2016,prim film grup humorís port fund estre públic,rasil curt esquet internet,enred cont dupl rodrig porchat miguel duvivi,at rodrig dev particip tod film produt miguel,produç film maluc cont ótim elenc port fund,Linguagens
2020,doederlein livr ressignific paul parábol 2017 ness simul verbet dicion predomin função metalinguís lingu esper identificams element subvert gêner mei incorpor marc caracterís função,cona val gal,refer festej própri,poé felic faz visit,emot esqueç import,fátic dia receb mai númer lig celul,Linguagens
2020,seix hom honest atrit secret cal sal honest hav tom têmp flex cer mold fantas vaidad recl amb incapaz apropriars alhei pratic abus confianç profess moral fácil cômod tão cultiv atual sociedad segund doutrin tud permit matér am inter própri plen liberdad desd transij lei evit escândal alenc senh dispon wwwdominiopublicogovbr acess 7 out 2015 literatura român reproduz val soc sinton context mudanç fragment senh concepç român narr repercut,resist relativ parâmetr étic,ideal person nobr atitud,crít model auster espaç cole,defês import famíl form moral indivídu,represent am fat aperfeiço espírit,Linguagens
